Data;DTP - 01 ano(1º REF);Poliomielite(VOP/VIP)(1ºREF);FA(< 1 ano);Varicela;Tríplice Viral - D1;Rotavírus Humano;Pneumocóccica(1 ano);Menigocócica Conj.C(< 1 ano);Pentavalente (< 1 ano);Tríplice Viral - D2;Hepatite A;Pneumocóccica(<1 ano);BCG;Menigocócica Conj.C(1 ano);Poliomielite(< 1 ano);População;Região
01/05/2017;92,79;94,26;0,84;98,45;105,36;89,86;97,4;82,74;79,39;99,28;99,28;91,32;110,6;96,98;80,01;5729;320 - AMREC - CRICIUMA
01/01/2019;100,7;97,03;121,68;99,13;120,63;110,66;120,63;115,91;113,29;99,65;95,98;114,34;100,17;127,97;111,71;2288;313 - AMEOSC - SAO MIGUEL DO OESTE
01/03/2015;92,6;89,06;0,22;81,99;113,15;111,16;117,79;110,5;114,25;81,55;132,15;118,67;70,06;109,39;108,95;5430;320 - AMREC - CRICIUMA
01/05/2016;86,41;0;75,07;92,89;90,19;113,41;83,71;105,31;88,03;94,51;93,97;119,89;113,41;90,73;90,19;2222;313 - AMEOSC - SAO MIGUEL DO OESTE
01/10/2021;66,97;68,85;60,91;68,07;78,98;78,76;48,47;74,68;75,56;54,31;73,14;81,4;51,11;72,15;75,23;10894;315 - AMFRI - ITAJAI
01/01/2021;79,04;78,29;87,76;94,49;90,5;99,23;86,52;100,48;102,22;92;89,01;102,47;100,48;87,26;103,72;4813;322 - AMUREL - TUBARAO
01/01/2018;85,52;88,21;114,03;90,9;96,28;117,79;95,2;110,26;113,49;90,36;94,13;116,72;96,28;101,12;107,58;2231;313 - AMEOSC - SAO MIGUEL DO OESTE
01/05/2016;77,08;0;0,21;78,34;98,66;90,49;86,09;80,43;83,78;80,01;77,29;87,97;93,42;91,12;86,09;5729;320 - AMREC - CRICIUMA
01/05/2017;86,41;102,07;85,33;89,65;107,47;95,05;89,11;92,35;78,31;92,89;105,85;101,53;105,31;96,13;89,11;2222;313 - AMEOSC - SAO MIGUEL DO OESTE
01/10/2020;102,81;107,31;78,97;108,77;118,56;96,51;96,74;99,78;113,95;88,64;128,01;102,14;94,83;114,74;98,54;10668;315 - AMFRI - ITAJAI
01/05/2015;129,5;112,27;0,22;114,48;137,24;125,3;138,34;127,29;102,76;120,66;146,52;109,17;192,71;128,62;100,77;5430;320 - AMREC - CRICIUMA
01/03/2019;43,53;88,11;96,5;89,16;97,03;102,27;103,85;88,11;106,99;89,69;93,88;105,42;114,86;103,85;108,04;2288;313 - AMEOSC - SAO MIGUEL DO OESTE
01/01/2018;88,33;88,33;12,86;87,91;95,29;108,36;86,86;113,21;117,85;86,86;94,45;108,36;98,24;87,07;113,84;5692;320 - AMREC - CRICIUMA
